model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,3.2,8,1,9,0.05056179775280899,,,,0.00637040000037814
DBSCAN,3.2,10,1,9,0.05056179775280899,,,,0.007016700001258869
DBSCAN,3.3,3,2,5,0.028089887640449437,0.23685919331842456,6.083317272815149,1.0308450959703785,0.006407799999578856
DBSCAN,3.3,4,1,8,0.0449438202247191,,,,0.005286100000375882
DBSCAN,3.3,5,1,8,0.0449438202247191,,,,0.0059477999984665075
DBSCAN,3.3,6,1,8,0.0449438202247191,,,,0.005757400000220514
DBSCAN,3.3,8,1,9,0.05056179775280899,,,,0.006715200001053745
DBSCAN,3.3,10,1,9,0.05056179775280899,,,,0.005852400001458591
DBSCAN,3.4,3,2,4,0.02247191011235955,0.2343062688174737,6.036385842601499,1.0344013005609516,0.006367100000716164
DBSCAN,3.4,4,1,7,0.03932584269662921,,,,0.00577779999912309
DBSCAN,3.4,5,1,7,0.03932584269662921,,,,0.006980000000112341
DBSCAN,3.4,6,1,7,0.03932584269662921,,,,0.005783100001281127
DBSCAN,3.4,8,1,8,0.0449438202247191,,,,0.005043300001489115
DBSCAN,3.4,10,1,9,0.05056179775280899,,,,0.007453199999872595
DBSCAN,3.5,3,2,3,0.016853932584269662,0.23078126821714937,5.955512827865023,1.0397823002436768,0.004775100000188104
DBSCAN,3.5,4,1,6,0.033707865168539325,,,,0.005353699998522643
DBSCAN,3.5,5,1,6,0.033707865168539325,,,,0.005984800000078394
DBSCAN,3.5,6,1,7,0.03932584269662921,,,,0.004955699998390628
DBSCAN,3.5,8,1,7,0.03932584269662921,,,,0.005748499999754131
DBSCAN,3.5,10,1,8,0.0449438202247191,,,,0.00652769999942393
DBSCAN,3.6,3,2,3,0.016853932584269662,0.23078126821714937,5.955512827865023,1.0397823002436768,0.005167499999515712
DBSCAN,3.6,4,1,6,0.033707865168539325,,,,0.006174699999974109
DBSCAN,3.6,5,1,6,0.033707865168539325,,,,0.006213500000740169
DBSCAN,3.6,6,1,6,0.033707865168539325,,,,0.005219999999098945
DBSCAN,3.6,8,1,7,0.03932584269662921,,,,0.0066556000001583016
DBSCAN,3.6,10,1,8,0.0449438202247191,,,,0.005582699999649776
DBSCAN,3.7,3,2,2,0.011235955056179775,0.228055698800956,5.883253793978579,1.0436201819525555,0.0060618999996222556
DBSCAN,3.7,4,1,5,0.028089887640449437,,,,0.008043699999689125
DBSCAN,3.7,5,1,5,0.028089887640449437,,,,0.006720600000335253
DBSCAN,3.7,6,1,5,0.028089887640449437,,,,0.00619390000065323
DBSCAN,3.7,8,1,6,0.033707865168539325,,,,0.005200400000830996
DBSCAN,3.7,10,1,6,0.033707865168539325,,,,0.007509099999879254
DBSCAN,3.8,3,2,2,0.011235955056179775,0.228055698800956,5.883253793978579,1.0436201819525555,0.0066711999988910975
DBSCAN,3.8,4,1,5,0.028089887640449437,,,,0.006032299999787938
DBSCAN,3.8,5,1,5,0.028089887640449437,,,,0.004323799999838229
DBSCAN,3.8,6,1,5,0.028089887640449437,,,,0.00773269999990589
DBSCAN,3.8,8,1,5,0.028089887640449437,,,,0.007089400000040769
DBSCAN,3.8,10,1,5,0.028089887640449437,,,,0.006309400001555332
